1,BubbleCursor,0.4,0.3,1,2.383689,0
PID,CT,A,W,EWW,MT,MissedClicks
3,BubbleCursor,0.8,0.1,1,6.38653,1
3,BubbleCursor,0.4,0.1,2,2.44274,0
3,BubbleCursor,0.8,0.3,1,2.904205,0
3,BubbleCursor,0.2,0.3,2,2.195685,0
3,BubbleCursor,0.8,0.5,2,2.246208,0
PID,CT,A,W,EWW,MT,MissedClicks
4,BubbleCursor,0.8,0.3,2,10.04347,1
4,BubbleCursor,0.2,0.1,1,2.694796,0
4,BubbleCursor,0.4,0.1,1,2.15732,0
4,BubbleCursor,0.8,0.5,1,2.129777,0
4,BubbleCursor,0.8,0.1,2,2.349623,0
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.3,2,6.522839,1
1,BubbleCursor,0.2,0.5,1,2.239896,0
1,BubbleCursor,0.4,0.1,1,2.518704,0
1,BubbleCursor,0.4,0.5,1,2.173602,0
1,BubbleCursor,0.8,0.5,1,2.133394,0
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.1,1,7.683105,1
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.8,0.1,2,18.87182,1
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.1,2,9.600929,1
1,BubbleCursor,0.4,0.1,2,2.523492,0
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.4,0.5,1,7.760757,2
1,BubbleCursor,0.2,0.3,2,25.23497,1
1,BubbleCursor,0.4,0.3,2,56.75689,1
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.8,0.1,2,5.543096,1
1,BubbleCursor,0.2,0.3,1,2.666296,0
1,BubbleCursor,0.2,0.3,2,3.031306,0
1,BubbleCursor,0.4,0.1,1,2.907993,0
1,BubbleCursor,0.8,0.5,2,3.14231,0
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.3,2,7.30923,1
PID,CT,A,W,EWW,MT,MissedClicks
2,BubbleCursor,0.4,0.1,2,7.243158,1
2,BubbleCursor,0.4,0.3,2,6.388896,0
2,BubbleCursor,0.4,0.3,1,3.457718,1
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.8,0.5,2,4.91048,1
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.1,1,7.915966,1
1,BubbleCursor,0.8,0.5,1,4.798705,0
1,BubbleCursor,0.2,0.3,1,3.055499,0
1,BubbleCursor,0.4,0.3,1,2.350204,0
1,BubbleCursor,0.4,0.5,1,3.461603,0
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.4,0.3,1,6.114982,1
1,BubbleCursor,0.2,0.1,2,2.568105,0
1,BubbleCursor,0.4,0.1,2,4.079493,1
1,BubbleCursor,0.4,0.1,1,2.85811,0
1,BubbleCursor,0.8,0.1,1,2.253414,0
PID,CT,A,W,EWW,MT,MissedClicks
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.2,0.1,2,12.74819,1
1,BubbleCursor,0.4,0.5,1,7.926385,0
1,BubbleCursor,0.8,0.3,1,13.86424,0
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.4,0.1,1,13.18221,1
1,BubbleCursor,0.2,0.5,2,6.232887,0
PID,CT,A,W,EWW,MT,MissedClicks
1,BubbleCursor,0.4,0.5,2,10.33848,1
1,BubbleCursor,0.8,0.1,1,4.532593,0
1,BubbleCursor,0.8,0.5,2,15.85031,0
